,0
503,0.8
504,0.5
505,0.6
506,0.6
507,0.7
508,0.4
509,0.4
510,0.6
511,0.8
512,0.3
513,0.5
514,0.5
515,0.6
516,0.8
517,0.5
518,0.3
519,0.7
520,0.6
521,0.5
522,0.5
523,0.0
524,0.6
525,0.3
526,0.4
527,0.7
528,0.9
529,0.2
530,0.3
531,0.5
532,0.2
533,0.8
534,0.3
535,0.3
536,0.2
537,0.8
538,0.4
539,0.2
540,0.9
541,0.6
542,0.2
543,0.4
544,0.4
545,0.7
546,0.7
547,0.2
548,0.5
549,0.6
550,0.7
551,0.5
552,0.3
553,0.5
554,0.3
555,0.7
556,0.6
557,0.1
558,0.5
559,0.4
560,0.4
561,0.4
562,0.5
563,0.4
564,0.4
565,0.7
566,0.6
567,0.3
568,0.7
569,0.4
570,0.4
571,0.4
572,0.2
573,0.9
574,0.5
575,0.3
576,0.3
577,0.4
578,0.5
579,0.5
580,0.6
581,0.7
582,0.4
583,0.6
584,0.7
585,0.5
586,0.7
587,0.5
588,0.9
589,0.6
590,0.4
591,0.6
592,0.6
593,0.4
594,0.5
595,0.5
596,0.5
597,0.2
598,0.2
599,0.4
600,0.4
601,0.6
602,0.4
603,0.5
604,0.6
605,0.7
606,0.7
607,0.6
608,0.6
609,0.6
610,0.4
611,0.6
612,0.6
613,0.2
614,0.41666666666666663
615,1.0
616,0.8
617,0.4
618,0.3
619,0.3
620,0.1
621,0.2
622,0.3
623,0.7
624,0.4
625,0.5
626,0.6
627,0.4
628,0.4
629,0.4
630,0.5
631,0.6
632,0.3
633,0.3
634,0.5
635,0.7
636,0.5
637,0.2
638,0.3
639,0.3
640,0.2
641,0.3
642,0.5
643,0.5
644,0.2
645,0.3
646,0.3
647,0.5
648,0.4
649,0.6
650,0.4
651,0.6
652,0.7
653,0.5
654,0.4
655,0.6
656,0.4
657,0.4
658,0.6
659,0.5
660,0.7
661,0.6
662,0.2
663,0.1
664,0.8
665,0.5
666,0.1
667,0.7
668,0.8
669,0.3
670,0.4
671,0.2
672,0.2
673,0.5
674,0.3
675,0.4
676,0.7
677,0.3
678,0.3
679,0.4
680,0.4
681,0.3
682,0.2
683,0.3
684,0.4
685,0.8
686,0.6
687,0.7
688,0.2
689,0.5
690,0.4
691,0.8
692,0.7
693,0.5
694,0.4
695,0.6
696,0.6
697,0.4
698,0.4
699,0.7
700,0.3
701,0.6
702,0.1
703,0.5
704,0.2
705,0.2
706,0.8
707,0.6
708,0.4
709,0.7
710,0.5
711,0.6
712,0.4
713,0.4
714,0.5
715,0.5
716,0.7
717,0.5
718,0.4
719,0.3
720,0.5
721,0.5
722,0.4
723,0.7
724,0.5
725,0.4
726,0.6
727,0.2
728,0.4
729,0.1
730,0.6
731,0.2
732,0.4
733,0.8
734,0.6
735,0.4
736,0.3
737,0.3
738,0.5
739,0.5
740,0.4
741,0.4
742,0.4
743,0.3
744,0.6
745,0.5
746,0.5
747,0.8
748,0.6
749,0.5
750,0.3
751,0.5
752,0.4
753,0.4
754,0.4
755,0.1
756,0.6
757,0.3
758,0.3
759,0.1
760,0.3
761,0.2
762,0.4
763,0.8
764,0.2
765,0.6
766,0.2
767,0.5
768,0.5
769,0.3
770,0.5
771,0.1
772,0.5
773,0.5
774,0.1
775,0.7
776,0.3
777,0.4
778,0.2
779,0.6
780,0.5
781,0.5
782,0.3
783,0.3
784,0.4
785,0.8
786,0.6
787,0.5
788,0.5
789,0.4
790,0.3
791,0.1
792,0.6
793,0.4
794,0.5
795,0.4
796,0.3
797,0.5
798,0.7
799,0.2
800,0.4
801,0.4
802,0.3
803,0.3
804,0.7
805,0.5
806,0.4
807,0.7
808,0.4
809,0.4
810,0.5
811,0.5
812,0.2
813,0.6
814,0.5
815,0.8
816,0.4
817,0.2
818,0.6
819,0.6
820,0.3
821,0.5
822,0.3
823,0.4
824,0.4
825,0.6
826,0.3
827,0.3
828,0.3
829,0.4
830,0.7
831,0.6
832,0.6
833,0.5
834,0.4
835,0.5
836,0.6
837,0.4
838,0.8
839,0.5
840,0.4
841,0.3
842,0.5
843,0.2
844,0.3
845,0.8
846,0.6
847,0.4
848,0.6
849,0.4
850,0.7
851,0.6
852,0.5
853,0.6
854,0.4
855,0.4
856,0.2
857,0.8
858,0.5
859,0.4
860,0.3
861,0.4
862,0.3
863,0.6
864,0.8
865,0.4
866,0.4
867,0.5
868,0.4
869,0.4
870,0.9
871,0.3
872,0.6
873,0.5
874,0.6
875,0.4
876,0.3
877,0.5
878,0.7
879,0.3
880,0.6
881,0.4
882,0.6
883,0.6
884,0.6
885,0.2
886,0.2
887,0.5
888,0.5
889,0.4
890,0.7
891,0.5
892,0.6
893,0.2
894,0.5
895,0.5
896,0.6
897,0.4
898,0.4
899,0.3
900,0.5
901,0.3
902,0.3
903,0.4
904,0.6
905,0.8
906,0.6
907,0.3
908,0.5
909,0.9
910,0.8
911,0.4
912,0.2
913,0.8
914,0.2
915,0.2
916,0.3
917,0.4
918,0.4
919,0.3
920,0.6
921,0.3
922,0.5
923,0.4
924,0.3
925,0.5
926,0.6
927,0.2
928,0.6
929,0.7
930,0.3
931,0.4
932,0.2
933,0.4
934,0.7
935,0.6
936,0.4
937,0.2
938,0.6
939,0.5
940,0.5
941,0.0
942,0.3
943,0.6
944,0.4
945,0.8
946,0.6
947,0.8
948,0.4
949,0.6
950,0.3
951,0.4
952,0.6
953,0.6
954,0.5
955,0.7
956,0.1
957,0.3
958,0.3
959,0.4
960,0.4
961,0.9
962,0.4
963,0.3
964,0.8
965,0.8
966,0.6
967,0.6
968,0.5
969,0.5
970,0.3
971,0.4
972,0.4
973,0.2
974,0.5
975,0.2
976,0.6
977,0.6
978,0.5
979,0.8
980,0.6
981,0.5
982,0.35
983,0.3
984,0.6
985,0.5
986,0.6
987,0.7
988,0.9
989,0.8
990,0.1
991,0.5
992,0.6
993,0.9
994,0.5
995,0.5
996,0.5
997,0.6
998,0.3
999,0.4
1000,0.6
1001,0.5
1002,0.6
1003,0.6
1004,0.4
1005,0.2
1006,0.4
1007,0.3
1008,0.6
1009,0.6
1010,0.7
1011,0.1
1012,0.2
1013,0.2
1014,0.4
1015,0.3
1016,0.3
