Name,Team,date,GA1,GA2,GA3,GA
김동준,넥센,04월 26일,3,0,0,0
김동준,넥센,05월 01일,0,0,0,0
김동준,넥센,05월 02일,0,0,0,2
김동준,넥센,05월 05일,0,0,2,0
김동준,넥센,05월 09일,0,2,0,2
김동준,넥센,05월 11일,2,0,2,0
김동준,넥센,05월 17일,0,2,0,0
김동준,넥센,05월 22일,2,0,0,1
김동준,넥센,05월 25일,0,0,1,0
김동준,넥센,06월 03일,0,1,0,0
김동준,넥센,06월 06일,1,0,0,1
김동준,넥센,06월 08일,0,0,1,0
김동준,넥센,06월 09일,0,1,0,0
김동준,넥센,06월 15일,1,0,0,1
김동준,넥센,06월 21일,0,0,1,5
김동준,넥센,06월 27일,0,1,5,2
김동준,넥센,07월 03일,1,5,2,0
김동준,넥센,07월 04일,5,2,0,1
김동준,넥센,07월 08일,2,0,1,0
김민우,한화,05월 17일,0,5,6,2
김민우,한화,05월 23일,5,6,2,3
김민우,한화,05월 29일,6,2,3,1
김민우,한화,06월 03일,2,3,1,3
김민우,한화,06월 09일,3,1,3,1
김민우,한화,06월 15일,1,3,1,9
김민우,한화,06월 21일,3,1,9,6
김민우,한화,06월 27일,1,9,6,0
김민우,한화,07월 03일,9,6,0,8
김민우,한화,07월 08일,6,0,8,2
김범수,한화,06월 12일,2,0,0,0
김범수,한화,06월 14일,0,0,0,0
김범수,한화,06월 21일,0,0,0,0
김범수,한화,06월 24일,0,0,0,0
김범수,한화,07월 04일,0,0,0,1
김사율,KT,05월 05일,2,0,1,2
김사율,KT,05월 10일,0,1,2,1
김사율,KT,05월 17일,1,2,1,0
김사율,KT,05월 18일,2,1,0,0
김사율,KT,05월 22일,1,0,0,0
김사율,KT,05월 25일,0,0,0,0
김사율,KT,06월 02일,0,0,0,3
김사율,KT,06월 08일,0,0,3,0
김사율,KT,06월 27일,0,3,0,1
김사율,KT,07월 08일,3,0,1,5
김상수,넥센,04월 05일,0,0,0,0
김상수,넥센,04월 08일,0,0,0,0
김상수,넥센,04월 12일,0,0,0,0
김상수,넥센,04월 14일,0,0,0,0
김상수,넥센,04월 15일,0,0,0,0
김상수,넥센,04월 28일,0,0,0,0
김상수,넥센,04월 29일,0,0,0,0
김상수,넥센,05월 03일,0,0,0,0
김상수,넥센,05월 08일,0,0,0,0
김상수,넥센,05월 11일,0,0,0,0
김상수,넥센,05월 13일,0,0,0,0
김상수,넥센,05월 16일,0,0,0,0
김상수,넥센,05월 19일,0,0,0,0
