Name,Team,date,R1,R2,R3,R
고종욱,넥센,04월 24일,1,0,2,0
고종욱,넥센,04월 25일,0,2,0,0
고종욱,넥센,04월 26일,2,0,0,0
고종욱,넥센,04월 28일,0,0,0,1
고종욱,넥센,05월 01일,0,0,1,1
고종욱,넥센,05월 02일,0,1,1,1
고종욱,넥센,06월 05일,1,1,1,1
고종욱,넥센,06월 06일,1,1,1,0
고종욱,넥센,06월 08일,1,1,0,1
고종욱,넥센,06월 09일,1,0,1,0
고종욱,넥센,06월 10일,0,1,0,0
고종욱,넥센,06월 14일,1,0,0,0
고종욱,넥센,06월 15일,0,0,0,1
고종욱,넥센,06월 16일,0,0,1,2
고종욱,넥센,06월 19일,0,1,2,0
고종욱,넥센,06월 20일,1,2,0,1
고종욱,넥센,06월 21일,2,0,1,0
고종욱,넥센,06월 22일,0,1,0,1
고종욱,넥센,06월 23일,1,0,1,1
고종욱,넥센,06월 26일,0,1,1,0
고종욱,넥센,06월 27일,1,1,0,1
고종욱,넥센,06월 29일,1,0,1,1
고종욱,넥센,07월 01일,0,1,1,0
고종욱,넥센,07월 03일,1,1,0,0
고종욱,넥센,07월 11일,1,0,0,2
고종욱,넥센,07월 12일,0,0,2,0
구자욱,삼성,03월 29일,2,1,0,0
구자욱,삼성,03월 30일,1,0,0,1
구자욱,삼성,03월 31일,0,0,1,1
구자욱,삼성,04월 01일,0,1,1,1
구자욱,삼성,04월 03일,1,1,1,0
구자욱,삼성,04월 04일,1,1,0,0
구자욱,삼성,04월 05일,1,0,0,0
구자욱,삼성,05월 08일,0,0,0,2
구자욱,삼성,05월 09일,0,0,2,0
구자욱,삼성,05월 10일,0,2,0,1
구자욱,삼성,05월 11일,2,0,1,1
구자욱,삼성,05월 13일,0,1,1,1
구자욱,삼성,05월 15일,1,1,1,1
구자욱,삼성,05월 16일,1,1,1,0
구자욱,삼성,05월 17일,1,1,0,1
구자욱,삼성,05월 18일,1,0,1,1
구자욱,삼성,05월 24일,0,1,1,3
구자욱,삼성,05월 25일,1,1,3,3
구자욱,삼성,05월 26일,1,3,3,0
구자욱,삼성,05월 27일,3,3,0,1
구자욱,삼성,05월 29일,3,0,1,0
구자욱,삼성,05월 30일,0,1,0,0
구자욱,삼성,05월 31일,1,0,0,1
구자욱,삼성,06월 01일,0,0,1,1
구자욱,삼성,06월 02일,0,1,1,0
구자욱,삼성,06월 03일,1,1,0,1
구자욱,삼성,06월 05일,1,0,1,0
구자욱,삼성,06월 06일,0,1,0,0
구자욱,삼성,06월 07일,1,0,0,1
구자욱,삼성,06월 08일,0,0,1,1
구자욱,삼성,06월 09일,0,1,1,0
구자욱,삼성,06월 10일,1,1,0,1
구자욱,삼성,06월 12일,1,0,1,1
구자욱,삼성,06월 13일,0,1,1,2
구자욱,삼성,06월 14일,1,1,2,1
구자욱,삼성,06월 16일,1,2,1,0
구자욱,삼성,06월 17일,2,1,0,1
구자욱,삼성,06월 19일,1,0,1,0
구자욱,삼성,06월 20일,0,1,0,1
구자욱,삼성,06월 21일,1,0,1,0
구자욱,삼성,06월 22일,0,1,0,4
구자욱,삼성,06월 23일,1,0,4,1
구자욱,삼성,06월 24일,0,4,1,2
구자욱,삼성,06월 26일,4,1,2,3
구자욱,삼성,06월 27일,1,2,3,0
구자욱,삼성,06월 28일,2,3,0,0
구자욱,삼성,06월 29일,3,0,0,2
구자욱,삼성,07월 01일,0,0,2,0
구자욱,삼성,07월 04일,0,2,0,0
구자욱,삼성,07월 05일,2,0,0,0
구자욱,삼성,07월 06일,0,0,0,1
구자욱,삼성,07월 07일,0,0,1,0
구자욱,삼성,07월 08일,0,1,0,1
구자욱,삼성,07월 10일,1,0,1,0
구자욱,삼성,07월 11일,0,1,0,1
구자욱,삼성,07월 12일,1,0,1,1
권희동,NC,03월 30일,1,1,1,0
권희동,NC,03월 31일,1,1,0,0
권희동,NC,04월 01일,1,0,0,0
권희동,NC,05월 25일,0,0,0,0
권희동,NC,05월 26일,0,0,0,0
권희동,NC,05월 29일,0,0,0,0
권희동,NC,06월 05일,0,0,0,0
권희동,NC,06월 07일,0,0,0,1
권희동,NC,06월 08일,0,0,1,0
권희동,NC,06월 09일,0,1,0,0
권희동,NC,06월 10일,1,0,0,0
권희동,NC,06월 12일,0,0,0,1
권희동,NC,06월 13일,0,0,1,0
권희동,NC,06월 14일,0,1,0,0
권희동,NC,06월 15일,1,0,0,1
권희동,NC,06월 16일,0,0,1,1
권희동,NC,06월 17일,0,1,1,1
권희동,NC,06월 20일,1,1,1,0
권희동,NC,06월 21일,1,1,0,0
권희동,NC,06월 26일,1,0,0,0
권희동,NC,06월 28일,0,0,0,0
권희동,NC,06월 30일,0,0,0,0
권희동,NC,07월 03일,0,0,0,2
권희동,NC,07월 05일,0,0,2,0
권희동,NC,07월 06일,0,2,0,0
권희동,NC,07월 07일,2,0,0,0
권희동,NC,07월 08일,0,0,0,0
권희동,NC,07월 10일,0,0,0,1
권희동,NC,07월 11일,0,0,1,2
권희동,NC,07월 12일,0,1,2,0
김강민,SK,06월 21일,0,1,1,0
김강민,SK,06월 22일,1,1,0,0
김강민,SK,06월 29일,1,0,0,0
김강민,SK,07월 07일,0,0,0,0
김강민,SK,07월 10일,0,0,0,2
김강민,SK,07월 12일,0,0,2,1
김규민,넥센,05월 02일,1,2,2,0
김규민,넥센,05월 03일,2,2,0,2
김규민,넥센,05월 04일,2,0,2,1
김규민,넥센,05월 05일,0,2,1,0
김규민,넥센,05월 08일,2,1,0,1
김규민,넥센,05월 09일,1,0,1,0
김규민,넥센,05월 11일,0,1,0,1
김규민,넥센,05월 13일,1,0,1,0
김규민,넥센,05월 15일,0,1,0,0
김규민,넥센,05월 16일,1,0,0,0
김규민,넥센,05월 17일,0,0,0,1
김규민,넥센,05월 18일,0,0,1,0
김규민,넥센,05월 19일,0,1,0,1
김규민,넥센,05월 20일,1,0,1,0
김규민,넥센,05월 22일,0,1,0,2
김규민,넥센,05월 23일,1,0,2,0
김규민,넥센,05월 24일,0,2,0,0
김규민,넥센,05월 25일,2,0,0,1
김규민,넥센,05월 26일,0,0,1,0
김규민,넥센,05월 27일,0,1,0,0
김규민,넥센,05월 29일,1,0,0,2
김규민,넥센,05월 30일,0,0,2,0
김규민,넥센,05월 31일,0,2,0,0
김규민,넥센,06월 01일,2,0,0,0
김규민,넥센,06월 02일,0,0,0,1
김규민,넥센,06월 03일,0,0,1,0
김규민,넥센,06월 05일,0,1,0,2
김규민,넥센,06월 06일,1,0,2,0
김규민,넥센,06월 07일,0,2,0,0
김규민,넥센,06월 08일,2,0,0,1
김규민,넥센,06월 10일,0,0,1,0
김규민,넥센,06월 12일,0,1,0,0
김규민,넥센,06월 13일,1,0,0,1
김규민,넥센,06월 14일,0,0,1,2
김규민,넥센,06월 15일,0,1,2,1
김규민,넥센,06월 16일,1,2,1,0
김규민,넥센,06월 22일,2,1,0,0
김규민,넥센,06월 23일,1,0,0,0
김규민,넥센,06월 28일,0,0,0,0
김규민,넥센,06월 29일,0,0,0,0
김규민,넥센,07월 01일,0,0,0,0
김규민,넥센,07월 03일,0,0,0,1
김규민,넥센,07월 04일,0,0,1,2
김규민,넥센,07월 05일,0,1,2,0
김규민,넥센,07월 06일,1,2,0,1
김규민,넥센,07월 08일,2,0,1,0
김규민,넥센,07월 10일,0,1,0,1
김규민,넥센,07월 11일,1,0,1,3
김동엽,SK,03월 28일,1,1,1,0
김동엽,SK,03월 30일,1,1,0,2
김동엽,SK,03월 31일,1,0,2,1
김동엽,SK,04월 01일,0,2,1,0
김동엽,SK,04월 03일,2,1,0,2
김동엽,SK,04월 07일,1,0,2,0
김동엽,SK,04월 10일,0,2,0,1
김동엽,SK,04월 12일,2,0,1,0
김동엽,SK,04월 13일,0,1,0,0
김동엽,SK,04월 14일,1,0,0,0
김동엽,SK,04월 17일,0,0,0,1
김동엽,SK,04월 18일,0,0,1,0
김동엽,SK,04월 20일,0,1,0,1
김동엽,SK,04월 21일,1,0,1,0
김동엽,SK,04월 22일,0,1,0,1
김동엽,SK,04월 24일,1,0,1,0
김동엽,SK,04월 25일,0,1,0,1
김동엽,SK,04월 26일,1,0,1,0
김동엽,SK,04월 27일,0,1,0,2
김동엽,SK,04월 28일,1,0,2,0
김동엽,SK,04월 29일,0,2,0,0
김동엽,SK,05월 01일,2,0,0,3
김동엽,SK,05월 02일,0,0,3,1
김동엽,SK,05월 05일,0,3,1,0
김동엽,SK,05월 11일,3,1,0,1
김동엽,SK,05월 13일,1,0,1,1
김동엽,SK,05월 15일,0,1,1,0
김동엽,SK,05월 20일,1,1,0,1
김동엽,SK,05월 23일,1,0,1,0
김동엽,SK,05월 25일,0,1,0,1
김동엽,SK,05월 26일,1,0,1,0
김동엽,SK,05월 27일,0,1,0,0
김동엽,SK,05월 30일,1,0,0,0
김동엽,SK,05월 31일,0,0,0,1
김동엽,SK,06월 01일,0,0,1,1
김동엽,SK,06월 02일,0,1,1,0
김동엽,SK,06월 03일,1,1,0,1
김동엽,SK,06월 05일,1,0,1,1
