Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강승현,한화,2017년 09월 12일,0.0,0.0,6.3,nan,0.8667,2.44,0.0,0.1,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,1.04,0.7,1.0,5.6,0.4166,5.7,19.7,0.0,0.0,0.0,0
강승현,한화,2017년 09월 14일,0.0,0.0,1.8,nan,0.2667,0.72,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.8,0.0,0.0,1.09,0.2,1.0,4.6,0.1333,4.6,17.4,0.0,0.0,0.0,0
강승현,한화,2017년 09월 22일,0.0,0.0,0.9,nan,0.1,0.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.3,0.0,0.0,1.02,0.1,1.0,3.5,0.05,3.5,15.7,0.0,0.0,0.0,0
강승현,한화,2017년 09월 29일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.0,3.1,0.0,3.1,10.2,0.0,0.0,0.0,0
강승현,한화,2017년 10월 03일,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,1.0,4.4,0.0,4.4,14.3,0.0,0.0,0.0,1
강영식,롯데,2015년 06월 21일,0.7,0.0,14.4,nan,1.2825,1.9,0.0,0.1,0.0,1.9,0.0,0.0,0.0,1.8,0.0,0.0,1.0,1.6,1.0,4.8,0.3371,4.9,21.4,0.0,0.0,0.8,0
강영식,롯데,2015년 06월 23일,0.2,0.0,3.6,nan,0.6,0.925,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.0,0.0,1.07,0.4,1.0,4.8,0.22,4.8,23.3,0.0,0.0,0.2,1
강영식,롯데,2015년 07월 22일,1.5,0.0,5.58,nan,1.0023,1.61,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.5,0.0,0.0,1.16,0.9,1.0,6.4,0.3803,7.1,30.3,0.0,0.0,0.1,0
강영식,롯데,2015년 07월 24일,0.4,0.0,1.08,nan,0.8178,1.485,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.1,0.0,0.0,1.12,0.2,1.0,5.4,0.3858,6.3,23.8,0.0,0.0,0.0,0
강영식,롯데,2015년 07월 28일,0.2,0.0,0.54,nan,0.7239,1.88,0.0,0.7,0.0,1.8,0.0,0.0,0.0,1.4,0.0,0.0,1.04,0.1,1.0,4.5,0.2979,5.5,24.3,0.0,0.0,0.0,0
