Name,Team,date,2B1,3B1,ERA1,K/BB1,OPS1,WHIP1,IBB1,BB1,HBP1,K1,GS1,S1,W1,HIT1,SO1,CG1,INNING1,ER1,GP1,BF1,BA1,PA1,PITCH1,L1,HOLD1,HR1,2B2,3B2,ERA2,K/BB2,OPS2,WHIP2,IBB2,BB2,HBP2,K2,GS2,S2,W2,HIT2,SO2,CG2,INNING2,ER2,GP2,BF2,BA2,PA2,PITCH2,L2,HOLD2,HR2,2B3,3B3,ERA3,K/BB3,OPS3,WHIP3,IBB3,BB3,HBP3,K3,GS3,S3,W3,HIT3,SO3,CG3,INNING3,ER3,GP3,BF3,BA3,PA3,PITCH3,L3,HOLD3,HR3,GA
최성훈,LG,05월 22일,0,0,0,0,0.5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,4,0.25,4,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,15,0,0,0,0
최원태,넥센,04월 12일,2,0,5.4,4,0.935,1.8,0,1,2,4,1,0,0,8,0,0,5,3,1,21,0.381,24,92,1,0,0,0,0,3,3,0.624,1.33,0,1,0,3,1,0,1,7,0,0,6,2,1,23,0.304,25,100,0,0,0,1,0,9.64,1,0.862,2.57,0,5,1,5,1,0,0,7,0,0,4.2,5,1,21,0.333,27,110,1,0,0,3
최원태,넥센,04월 18일,0,0,3,3,0.624,1.33,0,1,0,3,1,0,1,7,0,0,6,2,1,23,0.304,25,100,0,0,0,1,0,9.64,1,0.862,2.57,0,5,1,5,1,0,0,7,0,0,4.2,5,1,21,0.333,27,110,1,0,0,1,0,5.4,3.5,0.791,2,0,2,0,7,1,0,1,8,0,0,5,3,1,23,0.348,25,93,0,0,0,1
최원태,넥센,04월 24일,1,0,9.64,1,0.862,2.57,0,5,1,5,1,0,0,7,0,0,4.2,5,1,21,0.333,27,110,1,0,0,1,0,5.4,3.5,0.791,2,0,2,0,7,1,0,1,8,0,0,5,3,1,23,0.348,25,93,0,0,0,1,0,1,0,0.179,0.22,0,0,0,8,1,0,0,2,0,1,9,1,1,28,0.071,29,92,1,0,0,3
최원태,넥센,05월 05일,1,0,5.4,3.5,0.791,2,0,2,0,7,1,0,1,8,0,0,5,3,1,23,0.348,25,93,0,0,0,1,0,1,0,0.179,0.22,0,0,0,8,1,0,0,2,0,1,9,1,1,28,0.071,29,92,1,0,0,0,0,4.26,1,0.685,1.42,0,2,2,2,1,0,0,7,0,0,6.1,3,1,24,0.292,29,89,1,0,0,1
최원태,넥센,05월 13일,1,0,1,0,0.179,0.22,0,0,0,8,1,0,0,2,0,1,9,1,1,28,0.071,29,92,1,0,0,0,0,4.26,1,0.685,1.42,0,2,2,2,1,0,0,7,0,0,6.1,3,1,24,0.292,29,89,1,0,0,0,0,1.5,8,0.536,1,0,1,0,8,1,0,1,5,0,0,6,1,1,20,0.25,21,88,0,0,0,1
최원태,넥센,05월 19일,0,0,4.26,1,0.685,1.42,0,2,2,2,1,0,0,7,0,0,6.1,3,1,24,0.292,29,89,1,0,0,0,0,1.5,8,0.536,1,0,1,0,8,1,0,1,5,0,0,6,1,1,20,0.25,21,88,0,0,0,1,0,1.29,2,0.39,0.57,0,1,1,2,1,0,1,3,0,0,7,1,1,22,0.136,24,85,0,0,0,3
최원태,넥센,05월 25일,0,0,1.5,8,0.536,1,0,1,0,8,1,0,1,5,0,0,6,1,1,20,0.25,21,88,0,0,0,1,0,1.29,2,0.39,0.57,0,1,1,2,1,0,1,3,0,0,7,1,1,22,0.136,24,85,0,0,0,0,0,4.5,0.4,0.925,2.17,0,5,1,2,1,0,1,8,0,0,6,3,1,24,0.333,30,104,0,0,1,2
최원태,넥센,05월 31일,1,0,1.29,2,0.39,0.57,0,1,1,2,1,0,1,3,0,0,7,1,1,22,0.136,24,85,0,0,0,0,0,4.5,0.4,0.925,2.17,0,5,1,2,1,0,1,8,0,0,6,3,1,24,0.333,30,104,0,0,1,3,0,2.57,7,0.645,0.86,0,1,0,7,1,0,1,5,0,0,7,2,1,26,0.192,27,99,0,0,1,4
최원태,넥센,06월 06일,0,0,4.5,0.4,0.925,2.17,0,5,1,2,1,0,1,8,0,0,6,3,1,24,0.333,30,104,0,0,1,3,0,2.57,7,0.645,0.86,0,1,0,7,1,0,1,5,0,0,7,2,1,26,0.192,27,99,0,0,1,2,0,6,1.5,0.877,1.67,0,2,0,3,1,0,0,8,0,0,6,4,1,25,0.32,28,108,1,0,1,6
최원태,넥센,06월 12일,3,0,2.57,7,0.645,0.86,0,1,0,7,1,0,1,5,0,0,7,2,1,26,0.192,27,99,0,0,1,2,0,6,1.5,0.877,1.67,0,2,0,3,1,0,0,8,0,0,6,4,1,25,0.32,28,108,1,0,1,1,0,14.73,0.33,1.509,3,0,3,1,1,1,0,0,8,0,0,3.2,6,1,16,0.5,21,62,1,0,2,2
최원태,넥센,06월 17일,2,0,6,1.5,0.877,1.67,0,2,0,3,1,0,0,8,0,0,6,4,1,25,0.32,28,108,1,0,1,1,0,14.73,0.33,1.509,3,0,3,1,1,1,0,0,8,0,0,3.2,6,1,16,0.5,21,62,1,0,2,2,0,1.5,0,0.667,1.17,0,0,0,4,1,0,0,7,0,0,6,1,1,24,0.292,24,92,0,0,0,1
최원태,넥센,06월 23일,1,0,14.73,0.33,1.509,3,0,3,1,1,1,0,0,8,0,0,3.2,6,1,16,0.5,21,62,1,0,2,2,0,1.5,0,0.667,1.17,0,0,0,4,1,0,0,7,0,0,6,1,1,24,0.292,24,92,0,0,0,2,0,1.8,1,0.903,1.8,0,3,2,3,1,0,1,6,0,0,5,1,1,18,0.333,25,88,0,0,0,2
최원태,넥센,06월 29일,2,0,1.5,0,0.667,1.17,0,0,0,4,1,0,0,7,0,0,6,1,1,24,0.292,24,92,0,0,0,2,0,1.8,1,0.903,1.8,0,3,2,3,1,0,1,6,0,0,5,1,1,18,0.333,25,88,0,0,0,2,0,3,5,0.64,1.17,0,1,0,5,1,0,1,6,0,0,6,2,1,23,0.261,25,85,0,0,0,4
최원태,넥센,07월 05일,2,0,1.8,1,0.903,1.8,0,3,2,3,1,0,1,6,0,0,5,1,1,18,0.333,25,88,0,0,0,2,0,3,5,0.64,1.17,0,1,0,5,1,0,1,6,0,0,6,2,1,23,0.261,25,85,0,0,0,2,0,5.4,0,0.704,1.05,0,0,0,3,1,0,1,7,0,0,6.2,4,1,27,0.259,27,99,0,0,1,0
최원태,넥센,07월 11일,2,0,3,5,0.64,1.17,0,1,0,5,1,0,1,6,0,0,6,2,1,23,0.261,25,85,0,0,0,2,0,5.4,0,0.704,1.05,0,0,0,3,1,0,1,7,0,0,6.2,4,1,27,0.259,27,99,0,0,1,1,0,0,11,0.445,0.83,0,1,0,11,1,0,1,4,0,0,6,0,1,22,0.182,23,104,0,0,0,4
최지광,삼성,06월 24일,0,0,4.5,0,0.583,1.5,0,1,0,0,0,0,0,2,0,0,2,1,1,8,0.25,9,36,0,0,0,1,0,18,1.5,0.829,3,0,2,0,3,0,0,0,1,0,0,1,2,1,5,0.2,7,32,0,0,0,1,0,27,1,1.125,3,0,1,0,1,0,0,0,4,0,0,1.2,5,1,8,0.5,10,38,0,0,0,2
최지광,삼성,06월 28일,1,0,18,1.5,0.829,3,0,2,0,3,0,0,0,1,0,0,1,2,1,5,0.2,7,32,0,0,0,1,0,27,1,1.125,3,0,1,0,1,0,0,0,4,0,0,1.2,5,1,8,0.5,10,38,0,0,0,2,0,18,1,1.3,3,0,1,0,1,0,0,0,2,0,0,1,2,1,5,0.4,6,24,0,0,0,1
최충연,삼성,04월 03일,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,11,0,0,0,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,17,0,0,0,1,0,0,3,0.619,1.2,0,1,0,3,0,0,0,1,0,0,1.2,0,1,6,0.167,7,38,0,0,0,0
최충연,삼성,04월 05일,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,17,0,0,0,1,0,0,3,0.619,1.2,0,1,0,3,0,0,0,1,0,0,1.2,0,1,6,0.167,7,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,14,0,0,0,0
최충연,삼성,04월 07일,1,0,0,3,0.619,1.2,0,1,0,3,0,0,0,1,0,0,1.2,0,1,6,0.167,7,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,14,0,0,0,0,0,0,0,0.333,0.6,0,0,0,3,0,0,1,1,0,0,1.2,0,1,6,0.167,6,22,0,0,0,0
최충연,삼성,04월 11일,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,14,0,0,0,0,0,0,0,0.333,0.6,0,0,0,3,0,0,1,1,0,0,1.2,0,1,6,0.167,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,6,0,0,0,3
