Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
송성문,넥센,06월 28일,1.3,0,2.2,0,0,0,7.3,0,0,0,0.1,3.3,1.51,0.69,5.6,5.6,0.69,2.7,0.9,0,0,0
송성문,넥센,07월 04일,0.4,0,1.5,0,0,0,2.8,0,0,0,0.9,1.8,0.855,0.645,3.2,3.2,0.645,0.6,0.2,0,0,0
송성문,넥센,07월 07일,0.1,0,0.4,0,0,0,0.9,0,0,0,2,0.5,0.24,0.16,4.5,4.5,0.16,0.3,0.1,0,0,1
스크럭스,NC,03월 28일,0,0,1.2213,0,0,0.1,1.6,0.2,0.3,0.9,1.8,1.3,0.6163,0.605,5,3.5,0.4663,0.4,0.1,0.3,0,1
스크럭스,NC,03월 29일,0,0,0.6899,0,0,0,0.3,0.1,1.9,0.2,0.4,0.3,0.0999,0.59,4.9,2.7,0.0999,0.1,0,0.1,0.9,0
스크럭스,NC,03월 30일,0,0,0.1833,0,0,0,0.1,0,0.4,0.1,1.1,0.1,0.0333,0.15,4.8,4.3,0.0333,0,0,0,0.2,1
스크럭스,NC,03월 31일,0,0,0.7997,0,0,0,0.9,0.9,1.1,0,0.2,0.9,0.2997,0.5,4.8,3.7,0.2997,0,0,0,0.1,3
스크럭스,NC,04월 01일,0,0,1.9063,0,0,0,3.8,0.2,2,0,0.1,1.1,1.2663,0.64,5.7,3.7,0.3663,0.9,0.9,0,0,0
스크럭스,NC,04월 04일,0,0,0.6949,0,0,0,0.9,0.1,1.4,0,0.9,0.3,0.2999,0.395,5,3.6,0.0999,0.2,0.2,0,0,0
스크럭스,NC,04월 05일,0,0,0.993,0,0,0,1.3,0,1.3,0,2,1,0.433,0.56,4.9,3.6,0.333,1,0.1,0,0,0
스크럭스,NC,04월 07일,0,0,0.1916,0,0,0,0.2,0,0.3,0,2.3,0.2,0.0666,0.125,4.8,4.5,0.0666,0.2,0,0,0,1
스크럭스,NC,04월 08일,0.9,0,1.6583,0,0,0,2.8,0,1,0,0.6,1.9,0.9333,0.725,4.8,3.8,0.6336,0.1,0,0,0,3
스크럭스,NC,04월 10일,1.1,0,1.4903,0,0,0,2.4,0,2,0,1.1,1.3,0.8003,0.69,5.7,3.7,0.4331,0.9,0,0,0,1
스크럭스,NC,04월 12일,0.3,0,0.8784,0,0,0,1.6,0,0.5,0,2,1.3,0.4584,0.42,5,4.5,0.3583,1.1,0,0,0,0
스크럭스,NC,04월 13일,0.1,0,0.2267,0,0,0,0.4,0,0.2,0,0.5,0.3,0.1167,0.11,4.9,4.7,0.0833,0.3,0,0,0,0
스크럭스,NC,04월 14일,0,0,0.05,0,0,0,0.1,0,0,0,1.1,0.1,0.025,0.025,4.8,4.8,0.025,0.1,0,0,0,0
스크럭스,NC,04월 15일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4.8,4.8,0,0,0,0,0,0
스크럭스,NC,04월 17일,0,0,1.125,0,0,0,0.9,0,1.8,0,0.5,0.9,0.45,0.675,4.8,3,0.45,0,0,0,0,0
스크럭스,NC,04월 19일,0,0,0.7,0,0,0,1.1,0.9,0.4,0,1.1,1.1,0.325,0.375,4.8,4.4,0.325,0,0,0,0,0
스크럭스,NC,04월 20일,0,0,0.225,0,0,0,0.3,0.2,0.2,0,1.1,0.3,0.1,0.125,4.8,4.6,0.1,0,0,0,0,1
스크럭스,NC,04월 21일,0,0,1.175,0,0,0,3.7,0.1,0,0,1.2,1,0.925,0.25,4.8,4.8,0.25,2.7,0.9,0,0,0
스크럭스,NC,04월 22일,0.9,0,1.3003,0,0,0,2.6,0,0.9,0,1.2,1.1,0.8003,0.5,4.8,3.9,0.3497,0.6,0.2,0,0,1
스크럭스,NC,04월 24일,0.2,0,1.6184,0,0,0,5.3,0.9,0.2,0,0.3,2.1,1.1334,0.485,5.7,5.5,0.4516,2.1,1,0,0,0
스크럭스,NC,04월 25일,0.1,0,0.3967,0,0,0,1.2,0.2,0.1,0,1,0.5,0.2667,0.13,5,4.9,0.1133,0.4,0.2,0,0,1
스크럭스,NC,04월 27일,0,0,0.8897,0,0,0,1.4,0.1,0,0.9,1.1,1.1,0.3997,0.49,4.9,4,0.3397,1.1,0.1,0,0,0
스크럭스,NC,05월 01일,0,0,0.6166,0,0,0,1.1,0,0,0.2,1.2,1.1,0.2916,0.325,4.8,4.6,0.2916,0.2,0,0,0,0
스크럭스,NC,05월 02일,0,0,0.5433,0,0,0,0.3,0,1.8,0.1,2.1,0.3,0.0833,0.46,5.7,3.8,0.0833,0.1,0,0,0,1
스크럭스,NC,05월 03일,0,0,1.03,0,0,0,3.7,0,0.4,0,1.4,1,0.745,0.285,5.9,5.5,0.205,2.7,0.9,0,0,2
스크럭스,NC,05월 04일,1.8,0,1.32,0,0,0,4.4,0,0.2,0,2.2,2,0.88,0.44,6,5.8,0.4,2.4,0.2,0,0,1
