Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,H,SH,SF,R
강민호,롯데,2015년 05월 15일,0,1,1,0,0,0,4,0,0,0,3,2,0.667,0.333,6,6,0.333,1,0,0,0,0
강민호,롯데,2015년 05월 16일,1,0,2.1,0,0,0,6,0,1,0,1,2,1.5,0.6,5,4,0.5,4,1,0,0,2
강민호,롯데,2015년 05월 17일,0,0,2.417,0,0,0,5,0,0,1,0,2,1.667,0.75,4,3,0.667,2,1,0,0,2
강민호,롯데,2015년 05월 19일,0,0,0.25,0,0,0,0,1,1,0,1,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 05월 20일,0,0,0.25,0,0,0,0,0,1,0,2,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 05월 21일,0,0,0.25,0,0,0,0,0,0,1,1,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 05월 23일,0,0,2.417,0,0,0,5,0,1,0,1,2,1.667,0.75,4,3,0.667,3,1,0,0,2
강민호,롯데,2015년 05월 24일,0,0,3.417,0,0,0,8,1,1,0,0,2,2.667,0.75,4,3,0.667,3,2,0,0,2
강민호,롯데,2015년 05월 26일,1,0,1.35,0,0,0,3,0,0,1,1,2,0.75,0.6,5,4,0.5,3,0,0,0,0
강민호,롯데,2015년 05월 27일,0,0,1,0,0,0,2,0,0,0,2,2,0.5,0.5,4,4,0.5,0,0,0,0,0
강민호,롯데,2015년 05월 29일,0,0,1.25,0,0,0,1,0,2,0,0,1,0.5,0.75,4,2,0.5,1,0,0,0,0
강민호,롯데,2015년 05월 30일,0,0,0.2,0,0,0,0,0,1,0,2,0,0,0.2,5,4,0,0,0,0,0,0
강민호,롯데,2015년 05월 31일,0,0,0.65,0,0,0,1,0,0,1,1,1,0.25,0.4,5,4,0.25,1,0,0,0,0
강민호,롯데,2015년 06월 02일,1,0,3.333,0,0,0,7,0,1,0,0,3,2.333,1,4,3,1,5,1,0,0,1
